book_id,character_id,name,gender,Opmer,Opmer,Opmer,
58,2,Eichmann,1,,,,
58,3,Hitler,1,,,,
58,4,Hausner,1,,,,
58,5,Servatius,1,,,,
58,6,Landau,1,,,,
58,7,Heydrich,1,,,,
58,8,Himmler,1,,,,
58,9,Höss,1,,,,
58,10,Halevi,1,,,,
58,11,Less,1,,,,
59,1,Carel,1,,,,
59,2,Pieter,1,,,,
59,3,Barbertje,1,,,,
59,4,Tobias,1,,,,
59,5,Reiniersen,1,,,,
59,6,Rembrandt,1,,,,
59,7,Barent,1,,,,
59,8,Anna,2,,,,
59,9,Machteld,2,,,,
59,10,Gerbrand,1,,,,
59,11,De Decker,1,,,,
59,12,Van Aelst,1,,,,
59,13,Maartje,2,,,,
59,14,Samuel,1,,,,
59,15,Aeltje,2,,,,
59,16,Valentijn,1,,,,
59,17,Bramer,1,,,,
59,18,Johannes,1,,,,
59,19,Fabritius,1,,,,
59,20,Van Asch,1,,,,
59,21,Hendrickje,1,,,,
59,22,Claartje,2,,,,
60,1,Ik,1,,,,
60,2,mijnheer Plus,1,,,,
60,3,Elsje,2,,,,
60,4,Doris,2,,,,
60,5,Kraaykamp,1,,,,
60,6,Loekie,2,,,,
60,7,Frankie,1,,,,
60,8,Marlon,1,,,,
60,9,Henk,1,,,,
60,10,Freddy,1,,,,
60,11,Stikmaartje,2,,,,
61,1,Peter,1,,,,
61,2,Mela,2,,,,
61,3,Paul,1,,,,
61,4,Marianne,2,,,,
61,5,Domitilla ,2,,,,
61,6,Henk,1,,,,
61,7,Fred,1,,,,
61,8,Jan,1,,,,
61,9,Amélie,2,,,,
61,10,Tom,1,,,,
61,11,Sancho,1,,,,
61,12,Olga,2,,,,
61,13,Vittorio,1,,,,
61,14,Dolly,2,,,,
61,15,Emma,2,,,,
62,1,Ik,1,,,,
62,2,Gorrez,1,,,,
62,3,Mijn vader,1,,,,
62,4,Bea,2,,,,
62,5,Paps,1,,,,
62,6,Mac,1,,,,
62,7,Karl,1,,,,
62,8,Kosterman,1,,,,
62,9,Albert,1,,,,
62,10,Arthur,1,,,,
62,11,Clara,2,,,,
62,12,Mijn moeder,2,,,,
63,1,Simon,1,,,,
63,2,Henny,2,,,,
63,3,Klaas,1,,,,
63,4,Job,1,,,,
63,5,Elize,2,,,,
63,6,Theun,1,,,,
63,7,Maja,2,,,,
63,8,Ben,1,,,,
63,9,David,1,,,,
63,10,André,1,,,,
63,11,Mare,2,,,,
63,12,Jan,1,,,,
63,13,Wijnand,1,,,,
63,14,Diana,2,,,,
63,15,Marie-Louise,2,,,,
63,16,Philip,1,,,,
63,17,Hilda,2,,,,
63,18,Marijke,2,,,,
63,19,Ineke,2,,,,
64,1,heer Aalbersberg,1,,,,
64,2,mevrouw Aalbersberg,2,,,,
64,3,Frieda,2,,,,
64,4,Annie,2,,,,
64,5,Jacqueline,2,,,,
64,6,Gerard,1,,,,
64,7,Theo,1,,,,
64,8,Johan,1,,,,
64,9,Henry,1,,,,
64,10,Mientje,2,,,,
64,11,Thea,2,,,,
64,12,Else,2,,,,
64,13,Trix,2,,,,
64,14,Van Doorne,1,,,,
64,15,Willy,2,,,,
64,16,Leonard,1,,,,
65,1,Johan,1,,,,
65,2,Jeanette,2,,,,
65,3,Victor,1,,,,
